COUNTRY,YEAR,GCF_GWTH_PCNT,GDP_PCAP_GWTH_PCNT
UK,2013,7.044558349,1.209899645
UK,2014,12.8324597,2.235458153
USA,1992,5.505542519,2.096612761
USA,1993,5.379421972,1.405708556
USA,1994,9.034862613,2.760882301
USA,1995,2.864560865,1.468718237
USA,1996,7.591727651,2.572259206
USA,1997,9.481793453,3.13259495
USA,1998,8.660396357,3.27052405
USA,1999,7.951287976,3.557193086
USA,2000,6.097963354,2.975208629
USA,2001,-3.99244469,0.003648976
USA,2002,0.472452386,0.802103854
USA,2003,4.131582653,1.980925835
USA,2004,7.824860015,2.84268064
USA,2005,5.609039186,2.563502409
USA,2006,3.057204552,1.867955516
USA,2007,-1.619300781,0.911865594
USA,2008,-6.213792223,-1.076700085
USA,2009,-16.59589497,-3.387435662
USA,2010,10.45754258,1.716400257
USA,2011,4.218059544,0.815453101
USA,2012,7.662970984,1.502187905
USA,2013,4.665742553,1.138896602
USA,2014,4.394881094,1.776837703
